response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.0228,1.0142,0.0000,0.0000,3.0085,0.0001,500,60.0026
4.0582,0.0019,0.0001,0.0000,4.0562,0.0000,500,60.0027
4.0587,1.0158,0.0002,0.0000,3.0428,0.0000,500,60.0026
4.0588,0.0021,0.0001,0.0000,4.0566,0.0000,500,60.0024
4.0589,1.0142,0.0003,0.0000,3.0447,0.0000,500,60.0025
5.7845,1.0192,0.0000,0.0000,4.7652,0.0000,200,84.0614
12.0451,1.0142,0.0001,0.0000,11.0309,0.0000,200,100.0031
12.6750,1.0143,0.0001,0.0000,11.6607,0.0001,200,100.0031
10.5781,1.0505,0.0000,0.0000,9.5275,0.0000,200,104.0614
19.6505,1.0142,0.0001,0.0000,18.6362,0.0001,200,100.0031
10.7683,1.0448,0.0001,0.0000,9.7234,0.0000,200,120.0037
12.1755,1.0447,0.0000,0.0000,11.1308,0.0000,200,120.0038
12.3951,1.0462,0.0001,0.0000,11.3488,0.0000,200,120.0037
13.7481,1.0448,0.0001,0.0000,12.7033,0.0000,200,120.0037
13.8666,1.0460,0.0000,0.0000,12.8205,0.0001,200,120.0039
10.3595,1.0540,0.0000,0.0000,9.3055,0.0000,200,124.0261
6.2318,0.0000,0.0000,0.0000,6.2318,0.0000,200,134.3856
13.2223,0.0000,0.0000,0.0000,12.2964,0.0000,200,129.8463
9.6848,0.0000,0.0000,0.0000,9.6847,0.0000,200,133.8705
9.3442,1.0641,0.0000,0.0000,8.2800,0.0000,200,134.6397
12.3834,0.0000,0.0000,0.0000,12.3834,0.0000,200,132.1794
11.2310,1.0124,0.0000,0.0000,10.2185,0.0000,500,140.0039
11.2310,1.0124,0.0000,0.0000,10.2186,0.0000,500,140.0040
11.2314,1.0138,0.0000,0.0000,10.2175,0.0000,500,140.0037
11.2312,1.0134,0.0000,0.0000,10.2177,0.0000,500,140.0040
14.8641,1.0137,0.0000,0.0000,13.8503,0.0000,200,140.0037
15.0696,1.0136,0.0000,0.0000,14.0559,0.0000,200,140.0037
16.1069,1.0121,0.0000,0.0000,15.0947,0.0000,200,140.0042
17.2697,1.0127,0.0000,0.0000,16.2570,0.0000,200,140.0037
6.3104,0.0000,0.0000,0.0000,6.3103,0.0000,200,151.2349
11.5696,1.0093,0.0000,0.0000,10.5602,0.0000,200,152.6785
11.7411,1.0247,0.0000,0.0001,10.7163,0.0000,200,153.7519
11.8932,0.0000,0.0000,0.0000,11.8932,0.0000,200,154.8678
7.1682,1.0445,0.0001,0.0000,6.1236,0.0000,200,160.0039
12.4672,0.0000,0.0000,0.0000,12.4671,0.0000,200,157.5453
13.5662,1.0179,0.0000,0.0000,12.5482,0.0000,200,164.0619
14.5547,0.0000,0.0000,0.0000,13.8620,0.0000,200,163.5554
13.8898,0.0000,0.0000,0.0000,13.1808,0.0000,200,164.5631
7.6278,1.0133,0.0000,0.0000,6.6145,0.0000,200,171.2352
7.1062,1.0313,0.0000,0.0000,6.0749,0.0000,200,172.0487
12.6357,0.0000,0.0000,0.0000,12.2811,0.0000,200,177.2737
11.1424,0.0000,0.0000,0.0000,11.1424,0.0001,200,179.1549
13.6664,0.0000,0.0000,0.0000,13.6663,0.0000,200,178.8630
14.7905,0.0000,0.0000,0.0000,14.7905,0.0000,200,178.4529
13.7080,1.0135,0.0001,0.0000,12.6944,0.0000,200,180.0041
13.6525,1.0390,0.0000,0.0000,12.6134,0.0000,200,180.6179
14.2759,1.0124,0.0000,0.0000,13.2635,0.0000,200,180.0041
19.2649,1.0153,0.0000,0.0000,18.2496,0.0000,200,175.0735
14.4949,1.0136,0.0000,0.0000,13.4812,0.0000,200,180.0041
15.3186,1.0124,0.0000,0.0000,14.3061,0.0000,200,180.0042
17.1570,1.0135,0.0000,0.0000,16.1434,0.0000,200,180.0041
7.2482,0.0000,0.0000,0.0000,6.9635,0.0000,200,190.0127
17.4076,1.0136,0.0000,0.0000,16.3940,0.0000,200,180.0041
17.5684,1.0124,0.0001,0.0000,16.5559,0.0000,200,180.0041
17.8498,1.0124,0.0000,0.0000,16.8373,0.0000,200,180.0042
18.0480,1.0121,0.0000,0.0000,17.0358,0.0000,200,180.0044
18.8048,1.0124,0.0000,0.0000,17.7923,0.0000,200,180.0041
18.8874,1.0134,0.0000,0.0000,17.8739,0.0000,200,180.0042
19.3029,1.0124,0.0000,0.0000,18.2904,0.0000,200,180.0041
19.9166,1.0137,0.0001,0.0000,18.9029,0.0000,200,180.0040
10.4057,0.0000,0.0000,0.0000,9.8586,0.0000,200,190.7727
17.6537,1.0497,0.0000,0.0000,16.6039,0.0000,200,184.0621
17.9365,1.0645,0.0000,0.0000,16.8719,0.0000,200,183.9844
7.9694,0.0000,0.0000,0.0000,7.9693,0.0000,200,194.2801
8.3963,0.0000,0.0000,0.0000,8.3962,0.0000,200,194.3384
7.4588,0.0000,0.0000,0.0000,7.3951,0.0001,200,198.8089
16.3797,0.0000,0.0000,0.0000,16.3797,0.0000,200,189.9094
12.8726,0.0000,0.0000,0.0000,12.8725,0.0000,200,193.7120
14.7151,0.0000,0.0000,0.0000,14.7150,0.0001,200,192.5294
9.4341,0.0000,0.0000,0.0000,9.2355,0.0000,200,197.8539
8.6730,0.0000,0.0000,0.0000,8.6729,0.0000,200,200.0041
9.6404,0.0000,0.0000,0.0000,9.6404,0.0000,200,199.9206
11.5796,0.0000,0.0000,0.0000,10.8810,0.0000,200,198.1104
7.5455,0.0000,0.0000,0.0000,7.5454,0.0000,200,202.2494
18.0611,0.0000,0.0000,0.0000,18.0610,0.0000,200,192.3995
8.2242,0.0000,0.0000,0.0000,8.2242,0.0000,200,202.7347
9.7545,1.0236,0.0000,0.0000,8.7309,0.0000,200,204.2484
15.8828,0.0000,0.0000,0.0000,15.8826,0.0001,200,198.8916
18.2372,0.0000,0.0000,0.0000,18.2371,0.0001,200,197.5725
7.6474,0.0000,0.0000,0.0000,7.6473,0.0000,200,209.5610
9.8267,0.0000,0.0000,0.0000,9.8266,0.0000,200,208.6771
18.0994,0.0000,0.0000,0.0000,18.0994,0.0000,200,201.1784
18.2730,0.0000,0.0000,0.0000,18.2729,0.0000,200,201.7158
11.7323,0.0000,0.0000,0.0000,11.7323,0.0000,200,210.4606
8.8015,0.0000,0.0000,0.0000,8.8014,0.0000,200,214.0030
12.1523,0.0000,0.0000,0.0000,12.1523,0.0000,200,211.2355
14.0060,0.0000,0.0000,0.0000,14.0059,0.0000,200,209.6900
13.9449,0.0000,0.0000,0.0000,13.9448,0.0000,200,210.2975
14.5565,0.0000,0.0000,0.0000,13.8189,0.0000,200,214.7744
7.3518,0.0000,0.0000,0.0000,7.3517,0.0000,200,222.1929
9.6676,0.0000,0.0000,0.0000,8.6553,0.0000,200,220.0045
14.5895,0.0000,0.0000,0.0000,14.1027,0.0000,200,215.3229
7.0280,0.0000,0.0000,0.0000,7.0280,0.0000,200,223.6959
14.6454,0.0000,0.0000,0.0000,14.6453,0.0000,200,217.2611
16.1742,0.0000,0.0000,0.0001,15.5782,0.0000,200,218.0527
18.1605,0.0000,0.0000,0.0000,18.1605,0.0000,200,217.2084
14.8529,0.0000,0.0000,0.0000,14.8528,0.0000,200,221.9210
14.2330,0.0000,0.0000,0.0000,14.2330,0.0000,200,223.3878
12.2049,1.0265,0.0000,0.0000,11.1783,0.0000,200,225.4935
12.4073,1.0380,0.0000,0.0000,11.3692,0.0000,200,226.7618
12.5243,1.0039,0.0000,0.0000,11.5203,0.0000,200,227.2448
19.8017,0.0000,0.0000,0.0000,18.7895,0.0000,200,220.0046
13.8660,1.0231,0.0000,0.0000,12.8428,0.0000,200,226.5848
8.0139,0.0000,0.0000,0.0000,8.0138,0.0000,200,234.2269
14.3838,0.0000,0.0000,0.0000,14.3836,0.0000,200,230.9591
10.3011,0.0000,0.0000,0.0000,9.7340,0.0000,200,235.8098
13.0655,0.0000,0.0000,0.0000,13.0654,0.0000,200,233.2439
7.1898,0.0000,0.0000,0.0000,7.1898,0.0000,200,239.7691
12.0245,0.0000,0.0000,0.0000,11.8495,0.0001,200,235.3689
14.1208,0.0000,0.0000,0.0000,14.0433,0.0000,200,237.6209
14.1432,0.0000,0.0000,0.0000,14.1432,0.0000,200,239.8063
13.6378,0.0000,0.0000,0.0000,13.0395,0.0000,200,240.4508
15.9222,1.0438,0.0000,0.0000,14.8784,0.0000,200,240.0050
12.2875,0.0000,0.0000,0.0000,12.2874,0.0000,200,246.1110
16.0606,1.0294,0.0000,0.0000,15.0311,0.0001,200,244.2426
15.4443,0.0000,0.0000,0.0000,14.7749,0.0000,200,246.2895
16.9221,0.0000,0.0000,0.0000,16.7744,0.0000,200,247.1729
8.5617,1.0645,0.0000,0.0000,7.4971,0.0000,200,256.1123
13.0171,0.0000,0.0000,0.0001,12.5111,0.0000,200,251.7417
17.6341,0.0000,0.0000,0.0000,17.5290,0.0000,200,247.2884
17.3410,0.0000,0.0000,0.0000,17.3409,0.0000,200,249.3310
6.7849,0.0000,0.0000,0.0000,5.7730,0.0000,200,260.0050
16.0825,0.0000,0.0000,0.0000,15.2286,0.0001,200,251.9068
5.8709,0.0000,0.0000,0.0000,5.8708,0.0000,200,262.2410
10.2101,0.0000,0.0000,0.0000,9.2142,0.0000,200,259.3075
11.5405,0.0000,0.0000,0.0000,11.2271,0.0000,200,258.3984
17.0167,0.0000,0.0000,0.0000,17.0166,0.0000,200,253.9495
5.9491,0.0000,0.0000,0.0000,5.5419,0.0000,200,267.3937
9.1116,0.0000,0.0000,0.0000,9.1115,0.0000,200,264.7589
5.8058,0.0000,0.0000,0.0000,5.8057,0.0000,200,268.1119
19.6627,0.0000,0.0000,0.0000,19.6626,0.0000,200,255.9273
14.5365,0.0000,0.0000,0.0000,14.5364,0.0000,200,262.8048
8.2042,0.0000,0.0000,0.0000,8.2042,0.0000,200,269.6726
