response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
17.6359,1.0252,0.0002,0.0000,16.6105,0.0000,200,60.0024
18.5517,1.0254,0.0001,0.0001,17.5262,0.0000,200,60.0023
5.4440,1.0581,0.0001,0.0000,4.3858,0.0000,200,80.0026
9.7686,0.0000,0.0000,0.0000,9.7685,0.0000,200,77.6382
9.7234,0.0000,0.0000,0.0000,9.7233,0.0000,200,78.5540
4.4859,0.0000,0.0000,0.0000,4.4859,0.0000,200,85.4466
10.1936,1.0572,0.0002,0.0000,9.1363,0.0000,200,80.0026
10.3148,1.0578,0.0000,0.0000,9.2570,0.0000,200,80.0029
12.3502,1.0590,0.0001,0.0000,11.2912,0.0000,200,80.0026
12.4853,1.0589,0.0001,0.0000,11.4263,0.0001,200,80.0027
3.8278,0.0000,0.0000,0.0000,3.8277,0.0000,200,89.9326
6.7811,0.0000,0.0000,0.0000,6.7810,0.0000,200,87.4068
16.7011,1.0581,0.0002,0.0001,15.6429,0.0001,200,80.0026
17.1661,1.0590,0.0000,0.0000,16.1070,0.0000,200,80.0027
18.2543,1.0589,0.0001,0.0000,17.1953,0.0001,200,80.0027
18.6300,1.0591,0.0001,0.0000,17.5708,0.0000,200,80.0027
19.7940,1.0582,0.0002,0.0000,18.7358,0.0000,500,80.0025
19.7937,1.0578,0.0001,0.0000,18.7358,0.0000,500,80.0029
19.7940,1.0581,0.0001,0.0000,18.7359,0.0000,500,80.0026
19.7941,1.0581,0.0002,0.0000,18.7359,0.0000,500,80.0026
19.7942,1.0581,0.0000,0.0000,18.7361,0.0000,500,80.0027
9.6013,0.0000,0.0000,0.0000,9.6013,0.0000,500,90.1962
6.0731,0.0000,0.0000,0.0000,6.0730,0.0001,200,94.1879
4.5889,0.0000,0.0000,0.0000,4.5889,0.0000,200,96.7037
5.3807,0.0000,0.0000,0.0000,5.3806,0.0001,200,97.1688
5.3420,1.0252,0.0000,0.0000,4.3167,0.0000,200,100.0029
5.5074,1.0253,0.0001,0.0001,4.4820,0.0000,200,100.0028
5.5684,1.0252,0.0001,0.0000,4.5431,0.0001,200,100.0029
8.5596,1.0252,0.0000,0.0000,7.5344,0.0000,200,100.0029
8.9382,0.0000,0.0000,0.0000,8.9381,0.0000,200,99.7965
8.7673,0.0000,0.0000,0.0000,7.7420,0.0000,200,100.0028
8.9735,0.0000,0.0000,0.0000,8.9735,0.0000,200,99.7966
9.1540,1.0250,0.0000,0.0000,8.1289,0.0001,200,100.0030
9.3459,1.0250,0.0000,0.0000,8.3208,0.0000,200,100.0030
9.3711,1.0253,0.0002,0.0000,8.3458,0.0000,200,100.0028
9.7735,0.0000,0.0000,0.0000,9.7733,0.0001,200,99.7970
9.7886,0.0000,0.0000,0.0000,9.7885,0.0000,200,99.7966
10.7244,1.0253,0.0000,0.0000,9.6990,0.0000,200,100.0028
10.8104,1.0253,0.0000,0.0001,9.7850,0.0000,200,100.0028
11.9886,1.0251,0.0000,0.0000,10.9634,0.0000,200,100.0030
12.3643,0.0000,0.0002,0.0001,11.3389,0.0000,200,100.0028
12.5276,1.0251,0.0000,0.0000,11.5025,0.0000,200,100.0030
12.8617,1.0251,0.0000,0.0000,11.8366,0.0000,200,100.0029
4.7706,0.0000,0.0000,0.0000,4.7706,0.0000,200,108.7702
4.1404,0.0000,0.0000,0.0000,4.1403,0.0000,200,109.5705
15.1132,0.0000,0.0000,0.0000,15.1132,0.0000,200,98.6326
4.3494,0.0000,0.0000,0.0000,4.3494,0.0000,200,109.5851
14.1549,1.0252,0.0000,0.0000,13.1296,0.0000,200,100.0029
5.3270,0.0000,0.0000,0.0000,5.3270,0.0001,200,109.1570
15.1219,0.0000,0.0002,0.0000,14.8636,0.0000,200,100.0027
15.2551,1.0252,0.0000,0.0000,14.2298,0.0000,200,100.0029
7.0234,0.0000,0.0000,0.0000,7.0233,0.0000,200,108.7347
14.5923,0.0000,0.0000,0.0000,14.5922,0.0000,200,101.2926
7.7997,0.0000,0.0000,0.0000,7.7997,0.0000,200,108.2776
3.8840,0.0000,0.0000,0.0000,3.8839,0.0000,200,112.3670
7.3947,0.0000,0.0000,0.0000,7.3947,0.0000,200,109.3488
6.4383,0.0000,0.0000,0.0000,5.9198,0.0000,200,110.8132
