response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
18.4979,3.1062,0.0003,0.0000,15.3916,0.0001,500,40.0021
18.5029,1.0594,0.0000,0.0000,17.4434,0.0000,500,40.0020
18.5028,1.0596,0.0000,0.0000,17.4431,0.0000,500,40.0022
18.6111,1.0596,0.0000,0.0000,17.5515,0.0000,500,40.0021
18.6110,1.0591,0.0001,0.0000,17.5518,0.0000,500,40.0023
18.6112,1.0594,0.0003,0.0000,17.5518,0.0000,500,40.0021
18.6113,1.0595,0.0000,0.0000,17.5518,0.0000,500,40.0020
18.6922,1.0590,0.0001,0.0000,17.6332,0.0000,500,40.0024
18.6925,1.0593,0.0002,0.0000,17.6331,0.0000,500,40.0022
18.6927,1.0597,0.0000,0.0000,17.6330,0.0000,500,40.0021
18.6925,1.0590,0.0001,0.0000,17.6334,0.0000,500,40.0023
18.6927,1.0594,0.0001,0.0000,17.6333,0.0000,500,40.0022
18.6927,1.0595,0.0000,0.0000,17.6332,0.0000,500,40.0022
18.6927,1.0593,0.0001,0.0000,17.6333,0.0000,500,40.0022
18.6926,1.0593,0.0000,0.0000,17.6333,0.0001,500,40.0023
18.6927,1.0596,0.0000,0.0000,17.6331,0.0000,500,40.0022
18.6937,1.0595,0.0000,0.0000,17.6341,0.0000,500,40.0022
18.6948,1.0591,0.0000,0.0000,17.6356,0.0000,500,40.0024
18.6962,1.0593,0.0001,0.0000,17.6368,0.0000,500,40.0022
18.7806,1.0592,0.0001,0.0000,17.7214,0.0000,500,40.0023
18.7809,1.0597,0.0002,0.0000,17.7212,0.0000,500,40.0021
18.7810,1.0597,0.0000,0.0000,17.7213,0.0000,500,40.0021
18.7813,1.0595,0.0003,0.0000,17.7218,0.0000,500,40.0021
18.7814,1.0588,0.0000,0.0000,17.7225,0.0000,500,40.0025
18.7818,1.0593,0.0001,0.0000,17.7225,0.0000,500,40.0022
18.7947,1.0592,0.0001,0.0000,17.7355,0.0000,500,40.0022
18.7948,1.0597,0.0000,0.0000,17.7351,0.0000,500,40.0022
18.7947,1.0594,0.0000,0.0000,17.7353,0.0000,500,40.0023
18.7947,1.0591,0.0001,0.0000,17.7356,0.0000,500,40.0022
18.7948,1.0597,0.0000,0.0000,17.7352,0.0000,500,40.0022
18.7948,1.0593,0.0001,0.0000,17.7355,0.0000,500,40.0023
18.7950,1.0595,0.0002,0.0000,17.7355,0.0000,500,40.0021
18.7949,1.0593,0.0000,0.0000,17.7356,0.0000,500,40.0022
18.7952,1.0596,0.0002,0.0000,17.7356,0.0000,500,40.0021
18.7949,1.0590,0.0001,0.0000,17.7359,0.0000,500,40.0024
18.7951,1.0595,0.0000,0.0000,17.7355,0.0000,500,40.0023
18.7952,1.0595,0.0001,0.0000,17.7357,0.0000,500,40.0021
18.7949,1.0589,0.0000,0.0000,17.7360,0.0000,500,40.0024
18.7960,1.0593,0.0000,0.0000,17.7366,0.0000,500,40.0020
18.7956,1.0589,0.0000,0.0000,17.7367,0.0000,500,40.0024
18.7959,1.0592,0.0003,0.0000,17.7366,0.0000,500,40.0021
18.7957,1.0590,0.0000,0.0000,17.7366,0.0000,500,40.0024
18.7960,1.0589,0.0000,0.0000,17.7371,0.0000,500,40.0024
18.7962,1.0595,0.0000,0.0000,17.7366,0.0000,500,40.0023
18.7961,1.0588,0.0000,0.0000,17.7373,0.0000,500,40.0025
18.7967,1.0596,0.0000,0.0000,17.7370,0.0000,500,40.0021
18.7966,1.0592,0.0001,0.0000,17.7374,0.0000,500,40.0023
18.8069,1.0589,0.0000,0.0000,17.7480,0.0000,500,40.0025
18.8070,1.0588,0.0000,0.0000,17.7481,0.0000,500,40.0025
