response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
18.5921,1.0529,0.0000,0.0000,17.5391,0.0000,200,60.0024
19.7519,1.0521,0.0002,0.0000,18.6997,0.0000,200,60.0021
16.5117,1.0195,0.0000,0.0000,15.4922,0.0000,200,80.0026
16.5756,1.0198,0.0000,0.0000,15.5558,0.0000,200,80.0024
16.7476,1.0198,0.0001,0.0000,15.7278,0.0000,200,80.0024
16.9511,1.0193,0.0000,0.0000,15.9318,0.0000,200,80.0026
6.5720,0.0000,0.0000,0.0000,6.5720,0.0000,200,96.7500
4.9389,1.0516,0.0001,0.0000,3.8872,0.0000,200,100.0025
5.4034,1.0517,0.0002,0.0000,4.3516,0.0000,200,100.0024
6.3426,1.0515,0.0001,0.0000,5.2910,0.0000,200,100.0025
6.5060,1.0502,0.0000,0.0000,5.4557,0.0000,200,100.0033
8.4459,1.0510,0.0001,0.0000,7.3949,0.0000,200,100.0026
8.5132,1.0506,0.0000,0.0000,7.4626,0.0000,200,100.0030
8.7495,1.0506,0.0000,0.0000,7.6989,0.0000,200,100.0031
8.7501,1.0511,0.0000,0.0000,7.6989,0.0000,200,100.0025
8.9037,1.0516,0.0001,0.0000,7.8520,0.0000,200,100.0025
9.2760,1.0514,0.0000,0.0000,8.2245,0.0000,200,100.0027
10.3569,1.0511,0.0002,0.0000,9.3057,0.0000,500,100.0025
0.0170,0.0000,0.0000,0.0000,0.0170,0.0000,500,110.3594
10.3888,0.0010,0.0001,0.0000,10.3878,0.0000,200,100.0025
11.3795,1.0510,0.0001,0.0000,10.3285,0.0000,200,100.0026
5.2046,0.0000,0.0000,0.0000,5.2045,0.0000,200,106.5093
4.0190,0.0000,0.0000,0.0000,4.0190,0.0000,200,108.7526
13.6106,1.0509,0.0000,0.0000,12.5597,0.0000,200,100.0027
4.7560,0.0000,0.0000,0.0000,4.7559,0.0000,200,108.9062
5.0372,0.0000,0.0000,0.0000,5.0372,0.0000,200,109.2786
14.6325,1.0505,0.0000,0.0000,13.5819,0.0001,200,100.0031
4.5410,0.0000,0.0000,0.0000,4.5410,0.0000,200,110.3764
15.3911,1.0509,0.0000,0.0000,14.3401,0.0000,200,100.0027
6.9662,0.0000,0.0000,0.0000,6.9662,0.0000,200,110.3913
